Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Upload Source,Approval Status,Internal Notes
3367.0,CA-2014-165379,7/9/2014,7/15/2014,Standard Class,BM-11650,Brian Moss,Corporate,United States,Dallas,Texas,75217.0,Central,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",10.368,2.0,0.2,3.6288,CRM,Approved,Duplicate?
3368.0,CA-2014-165379,7/9/2014,7/15/2014,Standard Class,BM-11650,Brian Moss,Corporate,United States,Dallas,Texas,75217.0,Central,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,14.352,3.0,0.2,4.485,CRM,Pending,
3369.0,CA-2015-115511,11/21/2015,11/25/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Las Vegas,Nevada,89115.0,West,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",141.96,2.0,0.0,41.1684,Manual Upload,Approved,Urgent
3370.0,CA-2015-115511,11/21/2015,11/25/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Las Vegas,Nevada,89115.0,West,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",66.048,4.0,0.2,23.1168,CRM,Pending,
3371.0,CA-2016-134887,3/25/2016,3/25/2016,Same Day,TB-21280,Toby Braunhardt,Consumer,United States,Norman,Oklahoma,73071.0,Central,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,1287.45,5.0,0.0,244.6155,Manual Upload,Rejected,
3372.0,CA-2017-123778,9/23/2017,9/30/2017,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,San Francisco,Calif.,94122.0,West,OFF-BI-10000822,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",25.824,6.0,0.2,9.0384,Manual Upload,Pending,Duplicate?
3373.0,CA-2017-123778,9/23/2017,9/30/2017,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,San Francisco,California,94122.0,West,OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,160.96,2.0,0.0,48.288,ERP,Approved,Urgent
3374.0,CA-2015-161718,12/4/2015,12/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Hempstead,New York,11550.0,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",28.44,3.0,0.0,11.376,CRM,Rejected,
3375.0,CA-2015-161718,12/4/2015,Dec 10 2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Hempstead,N.Y.,11550.0,East,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,364.41,5.0,0.1,8.098,CRM,Approved,Duplicate?
3376.0,CA-2015-161718,12/4/2015,12/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Hempstead,New York,11550.0,East,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,39.96,4.0,0.0,10.3896,ERP,Pending,
3377.0,CA-2015-161718,12/4/2015,12/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Hempstead,New York,11550.0,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",361.764,2.0,0.1,68.3332,Legacy,,Check later
3378.0,CA-2016-100671,11/1/2016,11/4/2016,First Class,CS-12490,Cindy Schnelling,Corporate,United States,Conroe,Texas,77301.0,Central,OFF-ST-10004950,Office Supplies,Storage,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",111.672,9.0,0.2,6.9795,Legacy,Pending,Check later
3379.0,CA-2017-142867,3/17/2017,3/21/2017,Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Houston,Texas,77095.0,Central,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,13.776,6.0,0.8,-22.0416,CRM,Approved,
3380.0,CA-2017-142867,3/17/2017,3/21/2017,Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Houston,Texas,77095.0,Central,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,10.272,3.0,0.2,3.21,Legacy,,
3381.0,CA-2017-103156,11/23/2017,11/24/2017,First Class,TD-20995,Tamara Dahlen,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,24.048,9.0,0.2,7.2144,Legacy,,Urgent
3382.0,US-2017-162208,8/27/2017,8/30/2017,First Class,SP-20620,Stefania Perrino,Corporate,United States,Tampa,Florida,33614.0,South,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,2.896,1.0,0.2,0.9774,Legacy,Approved,
3383.0,CA-2015-130659,12/4/2015,12/9/2015,Second Class,MS-17365,Maribeth Schnelling,Consumer,United States,New York City,New York,10035.0,East,OFF-EN-10004147,Office Supplies,Envelopes,Wausau Papers Astrobrights Colored Envelopes,17.94,3.0,0.0,8.7906,Manual Upload,Rejected,Urgent
3384.0,CA-2015-130659,12/4/2015,12/9/2015,Second Class,MS-17365,Maribeth Schnelling,Consumer,United States,New York City,New York,10035.0,East,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",384.174,7.0,0.1,29.8802,Legacy,Pending,Duplicate?
3385.0,CA-2015-130659,12/4/2015,12/9/2015,Second Class,MS-17365,Maribeth Schnelling,Consumer,United States,New York City,New York,10035.0,East,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,1799.75,5.0,0.0,539.925,Manual Upload,Approved,Duplicate?
3386.0,CA-2017-148404,10/7/2017,10/11/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205.0,South,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,580.672,4.0,0.2,65.3256,CRM,Approved,Duplicate?
3387.0,CA-2017-148404,10/7/2017,10/11/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205.0,South,OFF-FA-10003112,Office Supplies,Fasteners,Staples,18.936,3.0,0.2,5.9175,Legacy,Pending,
3388.0,CA-2017-148404,10/7/2017,10/11/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205.0,South,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,222.384,2.0,0.2,16.6788,ERP,,
3389.0,CA-2017-148404,10/7/2017,10/11/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205.0,South,OFF-BI-10002854,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",50.454,6.0,0.7,-33.636,Legacy,Approved,
3390.0,CA-2017-148404,10/7/2017,10/11/2017,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205.0,South,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,154.764,3.0,0.4,-36.1116,Legacy,Rejected,
3391.0,CA-2017-101077,3/25/2017,3/30/2017,Second Class,DB-13660,Duane Benoit,Consumer,United States,Dallas,Texas,75081.0,Central,OFF-PA-10004239,Office Supplies,Paper,Xerox 1953,6.848,2.0,0.2,2.14,Manual Upload,Approved,Urgent
3392.0,CA-2014-166471,8/9/2014,8/13/2014,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Seattle,Washington,98103.0,West,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1091.168,4.0,0.2,68.198,Manual Upload,Rejected,Duplicate?
3393.0,CA-2014-166471,8/9/2014,8/13/2014,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Seattle,Washington,98103.0,West,TEC-PH-10000038,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,219.168,2.0,0.2,-43.8336,ERP,Pending,Check later
3394.0,CA-2014-105340,11/22/2014,11/25/2014,First Class,EH-14185,Evan Henry,Consumer,United States,Pasadena,Texas,77506.0,Central,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,6.928,1.0,0.8,-11.0848,CRM,Pending,Duplicate?
3395.0,US-2017-131583,6/10/2017,6/10/2017,Same Day,CL-11890,Carl Ludwig,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",40.032,6.0,0.2,15.012,Legacy,Pending,Urgent
3396.0,US-2017-148362,7/1/2017,7/8/2017,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Indianapolis,Indiana,46203.0,Central,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,4.0,0.0,13.3176,Manual Upload,Pending,Check later
3397.0,US-2017-148362,7/1/2017,7/8/2017,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Indianapolis,Indiana,46203.0,Central,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,169.99,1.0,0.0,78.1954,Legacy,Approved,Urgent
3398.0,US-2017-148362,7/1/2017,7/8/2017,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Indianapolis,Indiana,46203.0,Central,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,25.92,4.0,0.0,12.4416,ERP,,Urgent
